factor_name,factor_col,ret_horizon,ic_mean,rankic_mean,ic_std,icir,rankic_ir,n_days,pass
rigidity,rigidity_20m,ret100,0.0043538710757526,0.0105303069091402,0.016607128177166,0.2621688126511242,0.5013379354034558,244,False
rigidity,rigidity_10m,ret100,0.0038291333397815,0.0069492506505464,0.0138598934505598,0.2762743706104707,0.4035556490064636,244,False
rigidity,rigidity_30m,ret100,0.0036091985536238,0.0092486275621714,0.0175931401061003,0.2051480595196531,0.4292059635658476,244,False
rsrs,rsrs_30m,ret100,-0.0035681307898447,-0.0063086622321526,0.006521943461071,-0.547096246869148,-0.6194519982739389,244,False
rsrs,rsrs_45m,ret100,-0.0032234292612793,-0.0057660460898566,0.0065095701976733,-0.4951831170714561,-0.5433540789397653,244,False
rsrs,rsrs_60m,ret100,-0.0032074678967692,-0.0057068206861216,0.0067432903810072,-0.4756532368535182,-0.5404486509602336,244,False
rsrs,rsrs_75m,ret100,-0.0026548332300219,-0.0051927582031396,0.0071571715185705,-0.3709332972017614,-0.4778665502839996,244,False
neg_skew,neg_skew_15m,ret100,-0.0024511415153013,0.0114573319437205,0.0094369747601461,-0.2597380598762387,1.017349932602889,244,False
rsrs,rsrs_105m,ret100,-0.0023941011707577,-0.0047934994672216,0.0072479347898683,-0.3303149435207894,-0.4020962270520784,244,False
rigidity,rigidity_45m,ret100,0.0022929632570788,0.0083138121103425,0.0196120073292735,0.1169162961537504,0.3724331828113433,244,False
rigidity,rigidity_90m,ret100,0.0021136480057836,0.0054391489032959,0.02059746612855,0.1026168943593466,0.2144826748142192,244,False
pv_corr,pv_corr_100t,ret100,0.0017489232473508,-0.008993802077092,0.010971209814407,0.1594102452634019,-0.7508258073845502,244,False
pv_corr,pv_corr_300t,ret100,0.0016954772669867,-0.0056938017097266,0.0131592208864053,0.1288432865154116,-0.3778552260499881,244,False
neg_skew,neg_skew_30m,ret100,-0.0016319276372503,0.0134557533115374,0.0108107274134925,-0.1509544709464742,1.0752531338170517,244,False
pv_corr,pv_corr_200t,ret100,0.0016284052948799,-0.0073145221880613,0.0129025643704614,0.1262078799318341,-0.5161679085584716,244,False
rigidity,rigidity_60m,ret100,0.0014849283009662,0.0077893857742046,0.0203508391725807,0.0729664407631388,0.3082343151302989,244,False
rigidity,rigidity_105m,ret100,0.0013189631008297,0.0037268110276678,0.0205231648528299,0.0642670421588436,0.1350202935946082,244,False
neg_skew,neg_skew_60m,ret100,0.0004925946268394,0.0158331595402268,0.0119887379059179,0.0410881137535161,1.102974183128928,244,False
neg_skew,neg_skew_45m,ret100,6.31718872193146e-06,0.0156772297217769,0.0112518768538543,0.0005614342215065,1.1916562757508775,244,False
mom,mom_5m,ret200,-0.0283103977406478,-0.0446610170788704,0.0240372107890387,-1.177773826968218,-2.052335137938498,243,True
mom,mom_10m,ret200,-0.0248313684249559,-0.0433393706082384,0.0299271196293422,-0.8297279769152869,-1.660401847645583,243,True
bap,bap_15m,ret200,-0.0224364543097515,-0.0200882778762777,0.01400402654064,-1.6021430868215163,-1.137116417642268,243,True
mom,mom_20m,ret200,-0.0215479136411385,-0.0391109164711858,0.0325465859126514,-0.6620637168816665,-1.3827979388961305,243,True
bap,bap_30m,ret200,-0.0186729199763114,-0.015336646581992,0.015062557298689,-1.2396912161745988,-0.797932162312578,243,False
mom,mom_30m,ret200,-0.0180702684741471,-0.0351726099344575,0.0324720213944142,-0.556487329650983,-1.1818757247117109,243,False
acc_mom,acc_mom_150_300t,ret200,-0.0165595514141095,-0.0273177037835275,0.0207550574192747,-0.7978562082286091,-1.343542664579429,244,False
mom,mom_45m,ret200,-0.0163911512631279,-0.031462278695324,0.0350458182333209,-0.4677063367161888,-0.9177990779405284,243,False
acc_mom,acc_mom_100_200t,ret200,-0.0161833535771671,-0.0251954653417203,0.0149096028045801,-1.0854315697931072,-1.7779793994062707,244,False
bap,bap_45m,ret200,-0.0159189543710341,-0.0121231005037829,0.0168889382046947,-0.942566914396612,-0.5731255225084084,243,False
amp_slice,amp_slice_300t,ret200,-0.0156208126935972,-0.0285828741682294,0.0226547033658341,-0.6895174234395485,-1.8150146530785003,244,False
acc_mom,acc_mom_200_400t,ret200,-0.0152908727830032,-0.0271617477702531,0.0254556910449633,-0.6006858252637661,-1.1071490005850468,244,False
acc_mom,acc_mom_300_600t,ret200,-0.015042536165096,-0.0274603336512658,0.0292410761949427,-0.514431687288503,-0.9969030438850588,244,False
bap,bap_60m,ret200,-0.0149965730581646,-0.0112102716406145,0.0179127742269221,-0.8371999148867405,-0.5015834874235593,243,False
mom,mom_90m,ret200,-0.0147417811008109,-0.0267505336294516,0.0383491785716208,-0.384409305489534,-0.6546259124421127,243,False
amp_slice,amp_slice_1500t,ret200,-0.0140004703454847,-0.029658930435972,0.034775365696291,-0.4025973577893361,-0.9535200467409966,244,False
mom,mom_60m,ret200,-0.0139825113006915,-0.0278846103483971,0.0358592841897944,-0.3899272285159276,-0.7626993240636646,243,False
acc_mom,acc_mom_400_800t,ret200,-0.0139165739897926,-0.0267476439515629,0.0310628639010482,-0.4480132300139575,-0.9346831568925456,244,False
amp_slice,amp_slice_600t,ret200,-0.0138339828333414,-0.0296065999948187,0.0276188568816334,-0.5008890444897817,-1.3749864510698055,244,False
amp_slice,amp_slice_900t,ret200,-0.013475418420051,-0.0297168007015231,0.0290118023094338,-0.4644805681606769,-1.260161532072973,244,False
amp_slice,amp_slice_1200t,ret200,-0.0134677824464268,-0.030094268881222,0.0324795315789857,-0.4146544544115433,-1.1158225606180634,244,False
acc_mom,acc_mom_50_100t,ret200,-0.0131153674138827,-0.018371107043378,0.0094110102627458,-1.3936194996833546,-1.992248691732271,244,False
